"","file","lambda","max intensity"
"1","Data/20070725_01forirr.txt",699.91,0.38129
"2","Data/20070725_01forrad.txt",698.61,0.005057
"3","Data/20070725_01leftirr.txt",635.89,1.3084
"4","Data/20070725_01leftrad.txt",699.91,0.0091539
"5","Data/20070725_01rightirr.txt",698.61,0.18119
"6","Data/20070725_01rightrad.txt",699.91,0.0066388
"7","Data/20070725_01updamrad.txt",699.91,0.040668
"8","Data/20070725_01upirr.txt",635.89,7.3128
"9","Data/20070725_01uprad.txt",553.62,0.18487
"10","Data/20070725_02fordamrad.txt",699.91,0.029062
"11","Data/20070725_02forirr.txt",698.98,0.52001
"12","Data/20070725_02forrad.txt",668.78,0.17322
"13","Data/20070725_02leftirr.txt",699.91,0.83085
"14","Data/20070725_02leftrad.txt",699.91,0.050072
"15","Data/20070725_02rightirr.txt",698.61,0.91104
"16","Data/20070725_02rightrad.txt",699.91,0.022028
"17","Data/20070725_02updamrad.txt",699.91,0.11448
"18","Data/20070725_02upirr.txt",635.89,9.5139
"19","Data/20070725_02uprad.txt",699.91,0.12666
"20","Data/20070725_03fordamrad.txt",699.91,0.10391
"21","Data/20070725_03forirr.txt",699.91,0.38386
"22","Data/20070725_03leftirr.txt",698.61,0.5295
"23","Data/20070725_03leftrad.txt",698.61,0.042714
"24","Data/20070725_03rightirr.txt",698.61,0.42639
"25","Data/20070725_03rightrad.txt",678.34,0.15098
"26","Data/20070725_03updamrad.txt",699.91,0.039923
"27","Data/20070725_03upirr.txt",635.89,8.8359
"28","Data/20070725_03uprad.txt",699.91,0.18875
"29","Data/20070725_04fordamrad.txt",698.61,0.032009
"30","Data/20070725_04forirr.txt",698.61,0.33973
"31","Data/20070725_04forrad.txt",698.61,0.003634
"32","Data/20070725_04leftirr.txt",699.91,0.66098
"33","Data/20070725_04leftrad.txt",699.91,0.017393
"34","Data/20070725_04rightirr.txt",698.61,0.28872
"35","Data/20070725_04rightrad.txt",698.61,0.0070216
"36","Data/20070725_04updamrad.txt",699.91,0.049715
"37","Data/20070725_04upirr.txt",635.89,9.138
"38","Data/20070725_04uprad.txt",699.91,0.074276
